epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,3933.6,0.83251,0.42914,0.80771,0.96522,0.94388,0.97581,0.74633,0.74115,0.35732,0.79582,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4001.14,0.82773,0.42281,0.80798,0.96346,0.94886,0.97406,0.74783,0.73951,0.35597,0.79557,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4068.96,0.82768,0.42287,0.8077,0.96004,0.95255,0.97429,0.749,0.73713,0.35401,0.79565,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4136.59,0.82729,0.4217,0.80963,0.9608,0.95381,0.97435,0.74962,0.73626,0.35372,0.7953,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4204.45,0.82172,0.41842,0.80726,0.95957,0.9546,0.97432,0.74916,0.73651,0.35306,0.795,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4272.06,0.81269,0.41393,0.80502,0.96223,0.95503,0.97485,0.74943,0.7342,0.35336,0.79474,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4339.5,0.82107,0.41381,0.80708,0.96451,0.95297,0.9745,0.75054,0.73341,0.35312,0.79463,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4407.41,0.80851,0.41043,0.80613,0.97093,0.94791,0.97465,0.75101,0.73197,0.35315,0.79455,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4475.37,0.80445,0.40949,0.80503,0.96869,0.95041,0.97373,0.7518,0.73109,0.35297,0.79435,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4543.34,0.81086,0.40964,0.80557,0.96864,0.95065,0.97386,0.75141,0.73098,0.35262,0.79434,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4611.12,0.80369,0.40615,0.80581,0.97006,0.94882,0.97233,0.75227,0.72945,0.35216,0.79406,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4679.14,0.79607,0.40237,0.80397,0.97086,0.94691,0.97379,0.7515,0.72858,0.35201,0.79409,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4746.75,0.79929,0.40139,0.80465,0.97315,0.94675,0.97413,0.75272,0.72769,0.35154,0.7939,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4814.59,0.79378,0.3994,0.80451,0.96935,0.94998,0.97658,0.75374,0.72715,0.35135,0.79368,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4882.41,0.79298,0.39621,0.80322,0.96999,0.9478,0.97258,0.75439,0.72698,0.35087,0.79367,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4950.25,0.78605,0.3919,0.80363,0.97021,0.95064,0.97693,0.75501,0.72654,0.35008,0.79364,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5018.4,0.78113,0.39101,0.80298,0.96871,0.95152,0.97618,0.7558,0.72622,0.34999,0.79368,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5086.13,0.77894,0.38694,0.8034,0.96795,0.95469,0.97642,0.75606,0.72625,0.3488,0.79358,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5154.12,0.77784,0.38839,0.80275,0.96845,0.95584,0.97666,0.75677,0.72551,0.34879,0.79348,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5222,0.77211,0.38367,0.80105,0.96787,0.95582,0.9767,0.75683,0.72532,0.34901,0.79347,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5289.86,0.77153,0.38512,0.80119,0.96789,0.95573,0.97683,0.75699,0.72457,0.34848,0.79339,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5357.57,0.76416,0.38269,0.80101,0.96699,0.95614,0.97782,0.75686,0.72429,0.34786,0.79336,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5425.47,0.76368,0.37941,0.79982,0.96773,0.95636,0.97692,0.75723,0.72405,0.34701,0.79335,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5493.22,0.76133,0.37749,0.80099,0.96642,0.95624,0.97686,0.75748,0.7232,0.34636,0.79328,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5561.21,0.75528,0.37619,0.79859,0.96709,0.95684,0.97707,0.75772,0.72329,0.34635,0.79322,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5629.1,0.75059,0.37168,0.79895,0.96694,0.95738,0.97719,0.75885,0.72246,0.34554,0.79318,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5697.01,0.75115,0.37255,0.7986,0.9677,0.95752,0.97741,0.75818,0.72194,0.34515,0.79318,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5764.72,0.74254,0.36693,0.79884,0.97053,0.95675,0.97744,0.75891,0.72128,0.34448,0.79307,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5832.71,0.73949,0.36323,0.7968,0.96898,0.95791,0.9775,0.7598,0.72135,0.34459,0.79307,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5900.66,0.73916,0.36294,0.79672,0.96917,0.9576,0.97763,0.75974,0.72086,0.34412,0.79289,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5968.35,0.7357,0.36139,0.79724,0.9688,0.95761,0.97761,0.76035,0.7206,0.3437,0.79289,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6036.39,0.73347,0.35917,0.79891,0.96979,0.9581,0.97763,0.7609,0.72049,0.34363,0.79283,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6104.18,0.73438,0.35887,0.7981,0.96921,0.95805,0.97769,0.7613,0.72005,0.34341,0.79275,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6172.85,0.69958,0.33971,0.79677,0.96929,0.958,0.97776,0.76156,0.71982,0.34342,0.79261,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6239.2,0.68534,0.33158,0.79341,0.96827,0.95923,0.97776,0.76167,0.71953,0.34351,0.79261,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6305.62,0.68275,0.32798,0.79503,0.96825,0.95842,0.97782,0.76152,0.71951,0.34278,0.79256,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,6371.85,0.67346,0.32329,0.79532,0.96863,0.95834,0.97797,0.76218,0.71938,0.34284,0.79249,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,6438.21,0.67087,0.32149,0.79473,0.96893,0.95883,0.97802,0.76237,0.71868,0.34243,0.79244,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,6504.54,0.66569,0.31736,0.79263,0.96902,0.95935,0.97821,0.76311,0.71848,0.34212,0.79234,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,6570.8,0.65982,0.31588,0.79084,0.96893,0.95944,0.97827,0.76265,0.71818,0.34157,0.79227,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,6636.77,0.65351,0.3104,0.79026,0.96915,0.95916,0.97814,0.76372,0.71767,0.34157,0.79223,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,6703.13,0.65299,0.30917,0.79152,0.96904,0.96011,0.97886,0.76396,0.71746,0.34143,0.79215,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,6769.5,0.64655,0.307,0.7905,0.96876,0.96192,0.97891,0.76411,0.71689,0.34155,0.79213,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
